;;Company Info;;KEY FINANCIALS;;;;;
478;NetApp;10.500;5 ;6.146 US$;4,0%;US$1.169,0 ;1438,2%;8.741 US$;9.221 US$
478;HD Supply Holdings;11.500;1 ;6.146 US$;1,6%;US$452,0 ;14,7%;4.715 US$;4.605 US$
480;TravelCenters of America;18.594;-47 ;6.117 US$;-12,3%;US$33,3 ;-;3.231 US$;81 US$
481;Olin;6.500;-47 ;6.110 US$;-12,0%;-US$11,3 ;-103,4%;9.188 US$;1.842 US$
482;Robert Half International;16.000;8 ;6.074 US$;4,7%;US$454,4 ;4,6%;2.311 US$;4.346 US$
483;EnLink Midstream;1.355;-87 ;6.053 US$;-21,4%;-US$1.119,3 ;-;9.336 US$;537 US$
484;Avantor;12.000;-;6.040 US$;3,0%;US$37,8 ;-;9.773 US$;7.156 US$
485;Tapestry;17.400;-1 ;6.027 US$;2,5%;US$643,4 ;61,9%;6.877 US$;3.575 US$
486;TD Ameritrade Holding;9.226;23 ;6.016 US$;10,3%;US$2.208,0 ;49,9%;43.786 US$;18.739 US$
487;Analog Devices;16.400;-15 ;5.991 US$;-3,4%;US$1.363,0 ;-8,9%;21.393 US$;33.011 US$
488;Ameren;9.323;-20 ;5.910 US$;-6,1%;US$828,0 ;1,6%;28.933 US$;17.970 US$
489;Williams-Sonoma;19.300;6 ;5.898 US$;4,0%;US$356,1 ;6,7%;4.054 US$;3.282 US$
490;Realogy Holdings;10.150;-12 ;5.870 US$;-3,4%;-US$188,0 ;-237,2%;7.543 US$;347 US$
491;Commercial Metals;11.524;54 ;5.829 US$;17,8%;US$198,1 ;43,0%;3.759 US$;1.880 US$
492;Rush Enterprises;7.244;12 ;5.810 US$;5,5%;US$141,6 ;1,8%;3.407 US$;1.146 US$
493;Franklin Resources;9.597;-26 ;5.775 US$;-8,6%;US$1.195,7 ;56,4%;14.532 US$;8.293 US$
494;Fortune Brands Home & Security;24.700;14 ;5.765 US$;5,1%;US$431,9 ;10,9%;6.291 US$;6.042 US$
495;Levi Strauss;15.800;5 ;5.763 US$;3,4%;US$394,6 ;39,4%;4.232 US$;4.961 US$
496;Crown Castle International;5.100;17 ;5.763 US$;7,3%;US$860,0 ;38,3%;38.457 US$;60.179 US$
497;Simon Property Group;3.750;-1 ;5.755 US$;1,7%;US$2.101,6 ;-13,9%;31.232 US$;16.835 US$
498;Cerner;27.400;22 ;5.693 US$;6,1%;US$529,5 ;-16,0%;6.895 US$;19.164 US$
499;Post Holdings;10.100;-28 ;5.681 US$;-9,2%;US$124,7 ;-73,3%;11.952 US$;5.732 US$
500;Huntington Bancshares;15.664;24 ;5.655 US$;7,3%;US$1.411,0 ;1,3%;109.002 US$;8.399 US$
501;KBR;28.000;47 ;5.639 US$;14,8%;US$202,0 ;-28,1%;5.364 US$;2.943 US$
502;Sprouts Farmers Market;30.000;25 ;5.635 US$;8,2%;US$149,6 ;-5,6%;2.723 US$;2.185 US$
503;LPL Financial Holdings;4.343;28 ;5.625 US$;8,4%;US$559,9 ;27,4%;5.880 US$;4.305 US$
504;T. Rowe Price;7.365;15 ;5.618 US$;4,6%;US$2.131,3 ;16,0%;9.330 US$;22.788 US$
505;Yum Brands;34.000;-11 ;5.597 US$;-1,6%;US$1.294,0 ;-16,1%;5.231 US$;20.615 US$
506;Chipotle Mexican Grill;83.000;45 ;5.586 US$;14,8%;US$350,2 ;98,3%;5.105 US$;18.171 US$
507;Patterson;7.800;3 ;5.575 US$;2,0%;US$83,6 ;-58,4%;3.269 US$;1.465 US$
508;RPM International;14.957;14 ;5.565 US$;4,6%;US$266,6 ;-21,1%;5.441 US$;7.721 US$
509;Equinix;8.378;30 ;5.562 US$;9,7%;US$507,5 ;38,9%;23.966 US$;53.366 US$
510;Navient;5.800;-13 ;5.529 US$;-1,4%;US$597,0 ;51,1%;94.903 US$;1.466 US$
511;Chemours;7.000;-57 ;5.526 US$;-16,8%;-US$52,0 ;-105,2%;7.258 US$;1.456 US$
512;ON Semiconductor;34.800;-27 ;5.518 US$;-6,1%;US$211,7 ;-66,3%;8.426 US$;5.114 US$
513;TransDigm Group;18.300;137 ;5.517 US$;44,3%;US$889,8 ;-7,0%;16.255 US$;17.190 US$
514;Host Hotels & Resorts;175;-12 ;5.469 US$;-1,0%;US$920,0 ;-15,4%;12.305 US$;7.793 US$
515;Select Medical Holdings;42.800;23 ;5.454 US$;7,3%;US$148,4 ;7,7%;7.340 US$;2.015 US$
516;Par Pacific Holdings;1.408;181 ;5.402 US$;58,4%;US$40,8 ;3,5%;2.701 US$;381 US$
517;Sonoco Products;23.000;1 ;5.374 US$;-0,3%;US$291,8 ;-6,9%;5.126 US$;4.651 US$
518;Roper Technologies;16.460;12 ;5.367 US$;3,4%;US$1.767,9 ;87,2%;18.109 US$;33.086 US$
519;Harley-Davidson;5.600;-27 ;5.362 US$;-6,2%;US$423,6 ;-20,3%;10.528 US$;2.893 US$
520;Jefferies Financial Group;4.800;-148 ;5.359 US$;-34,3%;US$964,7 ;-6,0%;49.460 US$;3.788 US$
521;Kelly Services;7.700;-18 ;5.356 US$;-2,9%;US$112,4 ;390,8%;2.481 US$;496 US$
522;Microchip Technology;18.286;107 ;5.350 US$;34,4%;US$355,9 ;39,4%;18.350 US$;16.241 US$
523;McCormick;12.400;-9 ;5.347 US$;-1,1%;US$702,7 ;-24,7%;10.362 US$;18.767 US$
524;MDU Resources Group;13.359;50 ;5.337 US$;17,8%;US$335,5 ;23,2%;7.683 US$;4.310 US$
525;Fastenal;21.948;19 ;5.334 US$;7,4%;US$790,9 ;5,2%;3.800 US$;17.950 US$
526;Big Lots;22.250;-1 ;5.323 US$;1,6%;US$242,5 ;54,5%;3.189 US$;557 US$
527;Penn National Gaming;28.300;149 ;5.301 US$;47,8%;US$43,9 ;-53,1%;14.195 US$;1.478 US$
528;Western Union;11.500;-30 ;5.292 US$;-5,3%;US$1.058,3 ;24,2%;8.759 US$;7.490 US$
529;Under Armour;11.700;-;5.267 US$;1,4%;US$92,1 ;-;4.844 US$;3.878 US$
530;Xylem;16.300;-2 ;5.249 US$;0,8%;US$401,0 ;-27,0%;7.710 US$;11.738 US$
531;Skechers U.S.A.;8.550;28 ;5.243 US$;12,4%;US$346,6 ;15,1%;4.893 US$;3.725 US$
532;Domtar;10.000;-21 ;5.220 US$;-4,3%;US$84,0 ;-70,3%;4.903 US$;1.218 US$
533;NiSource;8.363;2 ;5.209 US$;1,8%;US$383,1 ;-;22.660 US$;9.545 US$
534;Marathon Oil;2.000;-78 ;5.190 US$;-21,1%;US$480,0 ;-56,2%;20.245 US$;2.618 US$
535;National General Holdings;9.200;30 ;5.180 US$;12,4%;US$348,1 ;67,9%;9.757 US$;1.882 US$
536;Telephone & Data Systems;9.400;-;5.176 US$;1,3%;US$121,0 ;-10,4%;10.781 US$;1.924 US$
537;Agilent Technologies;16.300;10 ;5.163 US$;5,1%;US$1.071,0 ;238,9%;9.452 US$;22.177 US$
538;Ametek;18.100;14 ;5.159 US$;6,5%;US$861,3 ;10,7%;9.845 US$;16.506 US$
539;Evergy;4.617;59 ;5.148 US$;20,4%;US$669,9 ;25,0%;25.976 US$;12.478 US$
540;International Flavors & Fragrances;13.668;90 ;5.140 US$;29,2%;US$455,9 ;35,2%;13.287 US$;10.902 US$
541;ADT;17.500;25 ;5.126 US$;11,9%;-US$424,2 ;-;16.084 US$;3.283 US$
542;Welltower;443;16 ;5.121 US$;9,0%;US$1.232,4 ;53,1%;33.381 US$;18.795 US$
543;Windstream Holdings;11.945;-50 ;5.115 US$;-10,5%;-US$3.090,0 ;-;9.898 US$;2 US$
544;Michaels;28.000;-21 ;5.072 US$;-3,8%;US$272,6 ;-14,7%;3.838 US$;238 US$
545;Kemper;8.900;115 ;5.039 US$;35,3%;US$531,1 ;179,4%;12.989 US$;4.970 US$
546;Hyatt Hotels;55.000;34 ;5.020 US$;12,7%;US$766,0 ;-0,4%;8.417 US$;4.853 US$
547;Alexion Pharmaceuticals;3.082;67 ;4.991 US$;20,8%;US$2.404,3 ;2998,3%;17.545 US$;19.942 US$
548;Resideo Technologies;13.000;-;4.988 US$;-;US$36,0 ;-;5.128 US$;595 US$
549;CACI International;22.100;29 ;4.986 US$;11,6%;US$265,6 ;-11,8%;5.087 US$;5.294 US$
550;Electronic Arts;9.700;-17 ;4.950 US$;-3,9%;US$1.019,0 ;-2,3%;8.957 US$;29.017 US$
551;Vulcan Materials;9.173;37 ;4.929 US$;12,5%;US$617,7 ;19,7%;10.649 US$;14.325 US$
552;TreeHouse Foods;10.800;-63 ;4.927 US$;-15,2%;-US$361,0 ;-;5.139 US$;2.484 US$
553;Global Payments;24.000;150 ;4.912 US$;45,9%;US$430,6 ;-4,7%;44.480 US$;43.288 US$
554;Hanover Insurance Group;4.300;-38 ;4.897 US$;-9,4%;US$425,1 ;8,7%;12.491 US$;3.457 US$
555;Camping World Holdings;11.508;-2 ;4.892 US$;2,1%;-US$60,6 ;-682,7%;3.376 US$;502 US$
556;Cornerstone Building Brands;20.100;431 ;4.890 US$;144,4%;-US$15,4 ;-124,4%;5.564 US$;575 US$
557;YRC Worldwide;29.000;-20 ;4.871 US$;-4,3%;-US$104,0 ;-614,9%;1.832 US$;61 US$
558;CME Group;4.360;36 ;4.868 US$;13,0%;US$2.116,5 ;7,9%;75.215 US$;61.985 US$
559;Chewy;12.000;-;4.847 US$;37,2%;-US$252,4 ;-;932 US$;14.944 US$
560;Knight-Swift Transportation Holdings;23.700;-39 ;4.844 US$;-9,4%;US$309,2 ;-26,3%;8.282 US$;5.569 US$
561;Moody's;11.081;21 ;4.829 US$;8,7%;US$1.422,0 ;8,6%;10.265 US$;39.594 US$
562;Coca-Cola Consolidated;15.850;1 ;4.827 US$;4,3%;US$11,4 ;-;3.127 US$;1.955 US$
563;Carlisle;14.000;7 ;4.812 US$;5,8%;US$472,8 ;-22,6%;5.496 US$;6.977 US$
564;Sealed Air;16.500;-9 ;4.791 US$;1,2%;US$263,0 ;36,2%;5.765 US$;3.822 US$
565;A-Mark Precious Metals;183;-164 ;4.783 US$;-37,1%;US$2,2 ;-;705 US$;86 US$
566;Watsco;5.800;6 ;4.770 US$;4,9%;US$246,0 ;1,2%;2.556 US$;6.050 US$
567;Taylor Morrison Home;2.300;37 ;4.762 US$;12,6%;US$254,7 ;23,4%;5.246 US$;1.479 US$
568;IAC/InterActiveCorp;8.700;32 ;4.757 US$;11,6%;US$431,1 ;-31,2%;8.333 US$;15.192 US$
569;Leggett & Platt;22.000;30 ;4.753 US$;11,3%;US$333,8 ;9,1%;4.816 US$;3.528 US$
570;OneMain Holdings;9.700;33 ;4.749 US$;12,2%;US$855,0 ;91,3%;22.817 US$;2.604 US$
571;Schneider National;15.650;-29 ;4.747 US$;-4,6%;US$147,0 ;-45,3%;3.660 US$;3.426 US$
572;Martin Marietta Materials;8.846;29 ;4.739 US$;11,7%;US$611,9 ;30,2%;10.132 US$;11.770 US$
573;NortonLifeLock;11.900;-23 ;4.731 US$;-3,2%;US$31,0 ;-97,3%;15.938 US$;11.233 US$
574;Hasbro;5.600;-7 ;4.720 US$;3,1%;US$520,5 ;136,1%;8.856 US$;9.794 US$
575;Square;3.835;140 ;4.714 US$;42,9%;US$375,4 ;-;4.551 US$;22.798 US$
576;Terex;9.500;-42 ;4.680 US$;-8,7%;US$54,4 ;-52,2%;3.196 US$;1.015 US$
577;Syneos Health;24.000;10 ;4.676 US$;6,5%;US$131,3 ;440,5%;7.454 US$;4.109 US$
578;FMC;6.400;-22 ;4.662 US$;-1,5%;US$477,4 ;-4,9%;9.873 US$;10.574 US$
579;Boise Cascade;6.010;-39 ;4.643 US$;-7,0%;US$80,9 ;295,2%;1.693 US$;932 US$
580;SS&C Technologies Holdings;22.800;115 ;4.633 US$;35,4%;US$438,5 ;324,9%;16.741 US$;11.204 US$
581;Continental Resources;1.260;-24 ;4.632 US$;-1,6%;US$775,6 ;-21,5%;15.728 US$;2.789 US$
582;Peabody Energy;6.600;-83 ;4.623 US$;-17,2%;-US$211,3 ;-132,7%;6.543 US$;282 US$
583;Encompass Health;35.690;13 ;4.605 US$;7,7%;US$358,7 ;22,7%;6.081 US$;6.303 US$
584;Greif;17.000;55 ;4.595 US$;18,6%;US$171,0 ;-18,3%;5.427 US$;1.698 US$
585;Concho Resources;1.453;26 ;4.592 US$;10,6%;-US$705,0 ;-130,8%;24.732 US$;8.429 US$
586;Hubbell;18.800;-9 ;4.591 US$;2,4%;US$400,9 ;11,3%;4.903 US$;6.239 US$
587;CF Industries Holdings;2.987;-3 ;4.590 US$;3,6%;US$493,1 ;70,1%;12.172 US$;5.880 US$
588;KLA;10.020;35 ;4.569 US$;13,2%;US$1.175,6 ;46,5%;9.009 US$;22.534 US$
589;Genesis Healthcare;55.000;-46 ;4.566 US$;-8,3%;US$14,6 ;-;4.662 US$;139 US$
590;Brunswick;12.828;-58 ;4.557 US$;-11,7%;-US$131,0 ;-149,4%;3.564 US$;2.807 US$
591;KB Home;2.140;-20 ;4.553 US$;0,1%;US$268,8 ;57,8%;5.016 US$;1.631 US$
592;Globe Life;3.196;3 ;4.528 US$;5,2%;US$760,8 ;8,5%;25.978 US$;7.729 US$
593;Mattel;24.000;-18 ;4.505 US$;-0,2%;-US$213,5 ;-;5.325 US$;3.056 US$
594;Ryerson Holding;4.500;-8 ;4.502 US$;2,1%;US$82,4 ;-22,3%;2.022 US$;199 US$
595;Silgan Holdings;13.220;-14 ;4.490 US$;0,9%;US$193,8 ;-13,5%;4.931 US$;3.215 US$
596;Zebra Technologies;8.200;11 ;4.485 US$;6,3%;US$544,0 ;29,2%;4.711 US$;9.916 US$
597;Intuitive Surgical;7.326;64 ;4.479 US$;20,3%;US$1.379,3 ;22,3%;9.733 US$;57.432 US$
598;Warner Music Group;5.400;29 ;4.475 US$;11,7%;US$256,0 ;-16,6%;6.017 US$;-
599;Conduent;67.000;-82 ;4.467 US$;-17,2%;-US$1.934,0 ;-;4.514 US$;519 US$
600;Tutor Perini;9.100;-21 ;4.451 US$;-0,1%;-US$387,7 ;-564,7%;4.486 US$;339 US$
601;Juniper Networks;9.419;-39 ;4.445 US$;-4,3%;US$345,0 ;-39,1%;8.838 US$;6.326 US$
602;Noble Energy;2.282;-61 ;4.438 US$;-11,0%;-US$1.512,0 ;-;20.647 US$;2.930 US$
603;Vertiv Holdings;19.800;-;4.431 US$;3,4%;-US$140,8 ;-;4.657 US$;2.841 US$
604;Tiffany;14.100;-21 ;4.424 US$;-0,4%;US$541,1 ;-7,7%;6.660 US$;15.694 US$
605;EQT;647;-59 ;4.417 US$;-10,7%;-US$1.221,7 ;-;18.809 US$;1.806 US$
606;UFP Industries;12.000;-30 ;4.416 US$;-1,6%;US$179,7 ;20,9%;1.890 US$;2.297 US$
607;Diebold Nixdorf;22.000;-39 ;4.409 US$;-3,7%;-US$341,3 ;-;3.791 US$;273 US$
608;Antero Resources;547;5 ;4.409 US$;6,5%;-US$340,1 ;-;15.198 US$;204 US$
609;Meritor;9.100;-;4.388 US$;5,0%;US$291,0 ;148,7%;2.815 US$;979 US$
610;Broadridge Financial Solutions;11.000;-19 ;4.362 US$;0,7%;US$482,1 ;12,7%;3.881 US$;10.887 US$
611;Church & Dwight;4.800;1 ;4.358 US$;5,1%;US$615,9 ;8,3%;6.657 US$;15.774 US$
612;Marriott Vacations Worldwide;22.000;159 ;4.355 US$;46,7%;US$138,0 ;150,9%;9.214 US$;2.280 US$
613;Edwards Lifesciences;13.900;40 ;4.348 US$;15,2%;US$1.046,9 ;45,0%;6.488 US$;39.106 US$
614;Colfax;15.000;52 ;4.326 US$;18,0%;-US$527,6 ;-476,4%;7.387 US$;2.339 US$
615;Insperity;3.500;33 ;4.315 US$;12,7%;US$151,1 ;11,6%;1.395 US$;1.469 US$
616;American Eagle Outfitters;27.000;8 ;4.308 US$;6,8%;US$191,3 ;-27,0%;3.329 US$;1.329 US$
617;Keysight Technologies;13.600;21 ;4.303 US$;11,0%;US$621,0 ;276,4%;6.623 US$;15.681 US$
618;JELD-WEN Holding;23.300;-28 ;4.290 US$;-1,3%;US$63,0 ;-55,6%;3.381 US$;980 US$
619;Iron Mountain;25.000;-14 ;4.263 US$;0,9%;US$267,4 ;-26,4%;13.817 US$;6.839 US$
620;Nasdaq;4.361;-23 ;4.262 US$;-0,4%;US$774,0 ;69,0%;13.924 US$;15.605 US$
621;Gartner;16.724;10 ;4.245 US$;6,8%;US$233,3 ;90,5%;7.151 US$;8.872 US$
622;Sinclair Broadcast Group;11.800;129 ;4.240 US$;38,8%;US$47,0 ;-86,2%;17.370 US$;1.473 US$
623;Ingles Markets;18.630;-6 ;4.202 US$;2,7%;US$81,6 ;-16,2%;1.867 US$;733 US$
624;Monster Beverage;3.092;27 ;4.201 US$;10,3%;US$1.107,8 ;11,6%;5.150 US$;30.206 US$
625;Murphy Oil;822;218 ;4.194 US$;63,2%;US$1.149,7 ;179,7%;11.719 US$;941 US$
626;Vertex Pharmaceuticals;3.000;126 ;4.163 US$;36,6%;US$1.176,8 ;-43,9%;8.319 US$;61.693 US$
627;First Republic Bank;4.812;52 ;4.157 US$;16,3%;US$930,3 ;9,0%;116.264 US$;14.094 US$
628;Bloomin' Brands;94.000;-13 ;4.139 US$;0,3%;US$130,6 ;21,9%;3.593 US$;621 US$
629;Spectrum Brands Holdings;13.000;-124 ;4.139 US$;-24,8%;US$471,9 ;-38,6%;5.231 US$;1.669 US$
630;Quad/Graphics;19.600;-22 ;4.137 US$;-1,3%;-US$156,3 ;-1938,8%;2.417 US$;136 US$
631;Flowers Foods;9.700;2 ;4.124 US$;4,4%;US$164,5 ;4,7%;3.178 US$;4.341 US$
632;CUNA Mutual Group;3.600;30 ;4.123 US$;11,5%;US$219,6 ;2,2%;24.610 US$;-
633;Allegheny Technologies;8.100;-12 ;4.123 US$;1,9%;US$257,6 ;15,8%;5.635 US$;1.076 US$
634;Old Dominion Freight Line;20.105;-12 ;4.109 US$;1,6%;US$615,5 ;1,6%;3.996 US$;15.692 US$
635;Landstar System;1.333;-71 ;4.090 US$;-11,5%;US$227,7 ;-10,8%;1.428 US$;3.785 US$
636;American National Insurance;4.640;74 ;4.070 US$;22,4%;US$620,4 ;290,2%;28.598 US$;2.215 US$
637;Snap-on;12.800;-18 ;4.068 US$;-0,1%;US$693,5 ;2,0%;5.694 US$;5.951 US$
638;Brookdale Senior Living;48.400;-65 ;4.057 US$;-10,5%;-US$267,9 ;-;7.194 US$;575 US$
639;Amkor Technology;29.650;-47 ;4.053 US$;-6,1%;US$120,9 ;-4,9%;4.696 US$;1.878 US$
640;Wyndham Destinations;22.500;-79 ;4.043 US$;-13,1%;US$507,0 ;-24,6%;7.453 US$;1.895 US$
641;PPD;23.000;-;4.031 US$;7,5%;US$47,8 ;-54,1%;5.556 US$;6.208 US$
642;Dentsply Sirona;15.200;-14 ;4.029 US$;1,1%;US$262,9 ;-;8.603 US$;8.599 US$
643;CNO Financial Group;3.300;-50 ;4.016 US$;-6,9%;US$409,4 ;-;33.631 US$;1.795 US$
644;Urban Outfitters;16.800;-10 ;3.984 US$;0,8%;US$168,1 ;-43,6%;3.316 US$;1.392 US$
645;Sabre;9.250;-4 ;3.975 US$;2,8%;US$158,6 ;-53,0%;5.690 US$;1.623 US$
646;Mercury General;4.500;55 ;3.973 US$;17,5%;US$320,1 ;-;5.889 US$;2.254 US$
647;Diamondback Energy;712;288 ;3.964 US$;82,1%;US$240,0 ;-71,6%;23.531 US$;4.147 US$
648;Parsons;15.879;-;3.955 US$;11,1%;US$120,5 ;-45,8%;3.450 US$;3.217 US$
649;Aaron's;12.100;-2 ;3.948 US$;3,1%;US$31,5 ;-84,0%;3.298 US$;1.520 US$
650;Flowserve;17.000;-5 ;3.945 US$;2,9%;US$253,7 ;112,0%;4.920 US$;3.127 US$
651;Carvana;7.324;349 ;3.940 US$;101,5%;-US$114,7 ;-;2.058 US$;8.480 US$
652;ASGN;4.300;46 ;3.924 US$;15,4%;US$174,7 ;10,8%;2.941 US$;1.872 US$
653;Sally Beauty Holdings;30.050;-18 ;3.876 US$;-1,4%;US$271,6 ;5,3%;2.098 US$;944 US$
654;ScanSource;2.700;-11 ;3.873 US$;0,7%;US$57,6 ;73,7%;2.067 US$;542 US$
655;Ventas;516;2 ;3.873 US$;3,4%;US$433,0 ;5,8%;24.692 US$;9.993 US$
656;Country Financial;3.839;15 ;3.868 US$;6,6%;US$167,3 ;-22,3%;15.725 US$;-
657;TriNet Group;2.900;27 ;3.856 US$;10,1%;US$212,0 ;10,4%;2.748 US$;2.589 US$
658;Spirit Airlines;8.938;53 ;3.831 US$;15,3%;US$335,3 ;115,3%;7.043 US$;882 US$
659;Comerica;7.708;15 ;3.817 US$;6,2%;US$1.198,0 ;-3,0%;73.402 US$;4.118 US$
660;Lennox International;11.200;-23 ;3.807 US$;-2,0%;US$408,7 ;13,8%;2.035 US$;7.017 US$
661;Timken;18.829;17 ;3.790 US$;5,8%;US$362,1 ;19,6%;4.860 US$;2.452 US$
662;Paychex;15.450;38 ;3.773 US$;11,6%;US$1.034,4 ;10,8%;8.676 US$;22.570 US$
663;Amerco;21.900;10 ;3.769 US$;4,7%;US$370,9 ;-53,1%;11.892 US$;5.697 US$
664;Worthington Industries;12.000;13 ;3.760 US$;5,0%;US$153,5 ;-21,2%;2.511 US$;1.433 US$
665;Lamb Weston Holdings;7.600;29 ;3.757 US$;9,7%;US$478,6 ;14,8%;3.048 US$;8.342 US$
666;Laureate Education;41.000;-60 ;3.752 US$;-11,1%;US$938,5 ;153,6%;6.516 US$;2.203 US$
667;Penn Mutual Life Insurance;3.318;56 ;3.705 US$;14,7%;US$396,0 ;18,8%;36.679 US$;-
668;iHeartMedia;11.400;-202 ;3.684 US$;-41,8%;-;-;11.021 US$;1.074 US$
669;Brink's;64.300;18 ;3.683 US$;5,6%;US$29,0 ;-;3.764 US$;2.625 US$
670;Sentry Insurance Group;4.217;15 ;3.681 US$;5,2%;US$324,3 ;29,4%;19.753 US$;-
671;Acuity Brands;12.000;-6 ;3.673 US$;-0,2%;US$330,4 ;-5,5%;3.172 US$;3.394 US$
672;Hub Group;5.000;-87 ;3.668 US$;-17,1%;US$107,2 ;-46,9%;1.992 US$;1.557 US$
673;Meritage Homes;1.510;9 ;3.667 US$;3,9%;US$249,7 ;9,8%;3.398 US$;1.373 US$
674;MRC Global;3.345;-64 ;3.662 US$;-12,2%;US$39,0 ;-47,3%;2.325 US$;350 US$
675;Alliant Energy;3.597;5 ;3.648 US$;3,2%;US$557,2 ;8,8%;16.701 US$;11.833 US$
676;Workday;12.200;121 ;3.627 US$;28,5%;-US$480,7 ;-;6.816 US$;30.211 US$
677;BMC Stock Holdings;10.200;-13 ;3.627 US$;-1,5%;US$109,8 ;-8,3%;1.906 US$;1.183 US$
678;Abercrombie & Fitch;26.000;-3 ;3.623 US$;0,9%;US$39,4 ;-47,2%;3.550 US$;560 US$
679;Domino's Pizza;13.100;13 ;3.619 US$;5,4%;US$400,7 ;10,7%;1.382 US$;12.647 US$
680;Lyft;5.683;261 ;3.616 US$;67,7%;-US$2.602,2 ;-;5.691 US$;8.233 US$
681;Meredith;5.615;172 ;3.612 US$;43,9%;US$46,3 ;-53,4%;6.137 US$;554 US$
682;American Water Works;6.800;9 ;3.610 US$;4,9%;US$621,0 ;9,5%;22.682 US$;21.643 US$
683;Albemarle;6.000;19 ;3.589 US$;6,4%;US$533,2 ;-23,1%;9.861 US$;5.993 US$
684;Ciena;6.383;60 ;3.572 US$;15,4%;US$253,4 ;-;3.893 US$;6.111 US$
685;Barnes & Noble;15.538;-18 ;3.553 US$;-3,0%;US$3,8 ;-;1.706 US$;-
686;Weis Markets;23.000;-3 ;3.543 US$;1,0%;US$68,0 ;8,4%;1.676 US$;1.121 US$
687;Illumina;7.700;21 ;3.543 US$;6,3%;US$1.002,0 ;21,3%;7.316 US$;40.149 US$
688;SVB Financial Group;3.564;126 ;3.531 US$;30,1%;US$1.136,9 ;16,7%;71.005 US$;7.788 US$
689;Carter's;20.300;-;3.519 US$;1,6%;US$263,8 ;-6,5%;2.753 US$;2.887 US$
690;Stifel Financial;8.205;39 ;3.515 US$;10,0%;US$448,4 ;13,8%;24.610 US$;2.870 US$
691;Mednax;9.480;-22 ;3.514 US$;-3,7%;-US$1.497,7 ;-657,5%;4.146 US$;981 US$
692;Equifax;11.200;4 ;3.508 US$;2,8%;-US$398,8 ;-233,0%;7.909 US$;14.569 US$
693;Kar Auction Services;13.311;-38 ;3.506 US$;-7,0%;US$188,5 ;-42,5%;6.581 US$;1.546 US$
694;Ashland Global Holdings;4.700;-36 ;3.505 US$;-6,4%;US$505,0 ;343,0%;7.251 US$;3.017 US$
695;Medical Mutual of Ohio;2.801;23 ;3.503 US$;7,4%;US$83,7 ;-46,9%;2.542 US$;-
696;Sprague Resources;770;-42 ;3.502 US$;-7,1%;US$31,3 ;-60,8%;1.276 US$;299 US$
697;Super Micro Computer;3.670;-;3.500 US$;4,2%;US$71,9 ;55,8%;1.683 US$;1.091 US$
698;Designer Brands;16.100;34 ;3.493 US$;9,7%;US$94,5 ;-;2.465 US$;357 US$
699;Pitney Bowes;11.000;-40 ;3.478 US$;-6,9%;US$194,6 ;-13,0%;5.467 US$;350 US$
700;Applied Industrial Technologies;6.650;47 ;3.473 US$;13,0%;US$144,0 ;1,7%;2.332 US$;1.768 US$
701;Pinnacle West Capital;6.210;-38 ;3.471 US$;-6,0%;US$538,3 ;5,3%;18.479 US$;8.522 US$
702;American Equity Investment Life Holding;608;-;3.464 US$;123,9%;US$246,1 ;-46,3%;69.697 US$;1.716 US$
703;ServiceNow;10.371;134 ;3.460 US$;32,6%;US$626,7 ;-;6.022 US$;54.393 US$
704;Twitter;4.900;52 ;3.459 US$;13,7%;US$1.465,7 ;21,6%;12.703 US$;19.213 US$
705;Calumet Specialty Products Partners;1.500;-19 ;3.453 US$;-1,3%;-US$43,6 ;-;1.858 US$;82 US$
706;Steelcase;12.700;44 ;3.443 US$;12,7%;US$126,0 ;56,1%;2.142 US$;1.157 US$
707;Sanderson Farms;17.055;15 ;3.440 US$;6,3%;US$53,3 ;-13,2%;1.774 US$;2.742 US$
708;WABCO Holdings;13.911;-62 ;3.421 US$;-10,7%;US$245,8 ;-37,6%;4.037 US$;6.924 US$
709;Clean Harbors;14.400;5 ;3.412 US$;3,4%;US$97,7 ;48,9%;4.109 US$;2.866 US$
710;Puget Energy;3.130;-5 ;3.401 US$;1,6%;US$210,7 ;-10,6%;14.660 US$;-
711;Scientific Games;9.800;-7 ;3.400 US$;1,1%;-US$130,0 ;-;7.809 US$;911 US$
712;Granite Construction;4.200;-;3.390 US$;2,2%;-US$105,4 ;-348,5%;2.634 US$;710 US$
713;Carlyle Group;1.775;161 ;3.377 US$;39,1%;US$380,9 ;227,0%;13.809 US$;7.539 US$
714;Skyworks Solutions;9.000;-74 ;3.377 US$;-12,7%;US$853,6 ;-7,1%;4.840 US$;15.156 US$
715;Aleris;5.600;-25 ;3.376 US$;-2,0%;-US$11,8 ;-;2.712 US$;-
716;Triple-S Management;3.992;49 ;3.376 US$;12,7%;US$92,9 ;-;2.819 US$;345 US$
717;Hexion;4.000;-65 ;3.374 US$;-11,1%;-;-;4.146 US$;-
718;Hologic;6.478;8 ;3.367 US$;4,6%;-US$203,6 ;-;6.442 US$;9.271 US$
719;Triumph Group;10.776;9 ;3.365 US$;5,2%;-US$321,8 ;-;2.855 US$;351 US$
720;Darling Ingredients;10.100;-21 ;3.364 US$;-0,7%;US$312,6 ;208,0%;5.345 US$;3.145 US$
721;MSC Industrial Direct;6.700;6 ;3.364 US$;5,0%;US$288,9 ;-12,3%;2.311 US$;3.045 US$
